youku.com,106.11.43.246
mozilla.com,44.236.72.93
twitter.com,104.244.42.193
adobe.com,193.104.215.58
ask.com,151.101.70.114
163.com,123.58.180.8
soso.com,118.191.216.57
sina.com.cn,123.126.45.205
bing.com,204.79.197.200
taobao.com,140.205.220.96
qq.com,58.250.137.36
microsoft.com,40.113.200.201
blogspot.com,172.217.1.201
baidu.com,39.156.69.79
msn.com,13.82.28.61
wikipedia.org,208.80.153.224
live.com,204.79.197.212
yahoo.com,98.137.11.163
youtube.com,172.217.1.206
facebook.com,69.171.250.35
wmfo.org,23.92.21.128
andysayler.com,159.89.253.85
sdjjdsaf.com,
